	shannon	simpson	observed_species	PD_whole_tree
3141_s	0.841116764731	0.365883085412	6.0	1.82255
1458_s	1.73368135483	0.662387656249	12.0	3.92713
Positive_s	0.497297616643	0.183636291408	5.0	2.11076
1405_s	1.19021668699	0.522190133348	9.0	2.093395
3278_s	0.312933752394	0.0824904002407	5.0	1.82778
1341_s	2.78418297986	0.815981347426	19.0	2.984905
2955_s	1.57109977029	0.535077100035	6.0	2.339235
2187_s	0.453277722911	0.142540392297	6.0	1.938215
1759_s	1.0462310369	0.490939396172	5.0	1.437985
1621_s	0.00211171291714	0.000259980199578	6.0	1.86644
2387_s	1.23723910368	0.467144777916	6.0	1.56976
1600_s	1.92545092808	0.695792402757	8.0	2.190095
2224_s	2.12856094227	0.734865352132	5.0	1.444635
1663_s	0.689012348122	0.262349652451	8.0	2.53301
2781_s	0.337116876795	0.0849871343086	8.0	3.101805
2278_s	0.496334808458	0.193727150939	5.0	1.36038
2191_s	0.381297015803	0.129364674881	7.0	2.75911
2780_s	0.647196391832	0.23456004397	8.0	1.58707
1611_s	0.0196077857282	0.00351323530048	6.0	1.385285
1455_s	0.0538430813943	0.0107588523698	6.0	1.656845
2277_s	0.60438865089	0.246753509806	11.0	2.976255
1586_s	0.0392647898304	0.00741916756373	5.0	2.091945
2273_s	0.391226556532	0.113578800132	9.0	2.553515
2121_s	2.64883613955	0.81807699617	12.0	2.36398
2055_s	1.90753216087	0.7074804528	7.0	2.11157
2173_s	0.0516352387014	0.010589779987	5.0	1.6592
2810_s	0.0400330044617	0.00704634869731	6.0	2.481305
3178_s	0.00622441770767	0.000919903300598	3.0	1.497545
1627_s	0.000988057813826	0.000119996999832	3.0	1.63938
1626_s	0.0141647425404	0.00247756292607	4.0	1.513585
2879_s	0.200111941043	0.0521330330928	5.0	1.57092
1869_s	1.37727107282	0.522108544432	4.0	1.60111
1372_s	1.94966575265	0.734537892597	4.0	1.38023
1418_s	0.590704955094	0.165789080364	7.0	2.134995
1614_s	0.12015020459	0.0253268210988	8.0	3.480115
2354_s	0.0171572273759	0.00305586529283	3.0	1.29724
2205_s	0.274191695051	0.0733190876162	7.0	2.393145
1548_s	0.0925437346565	0.0163314432049	9.0	2.243995
3015_s	0.78107339554	0.299257803965	6.0	1.432605
1412_s	2.48542741802	0.762145393225	13.0	2.81404
1408_s	0.781026487727	0.236601648154	8.0	2.521825
2188_s	1.33250009547	0.545028954386	11.0	3.09633
1535_s	0.778521052491	0.23582467933	13.0	2.706315
2152_s	0.804623535112	0.263119020357	4.0	1.10609
2324_s	0.190162718357	0.0484891516557	4.0	1.483705
1381_s	0.017029690794	0.00309537861391	5.0	2.192095
2082_s	0.430732983306	0.134453694769	7.0	1.73152
1283_s	2.1310675799	0.738035892756	12.0	3.183565
1485_s	1.65891476061	0.626020970954	12.0	2.485595
3138_s	0.0177483079767	0.0029367442	4.0	1.38093
2876_s	0.036073415566	0.00646794818645	5.0	1.560235
1514_s	0.0284168887805	0.00533948264075	4.0	1.6866
2351_s	1.44723248448	0.588808589875	7.0	1.59806
1552_s	0.0328856383005	0.00612552343742	4.0	1.47493
1414_s	0.214626251932	0.0571756231848	5.0	1.62094
3115_s	0.0777769856436	0.0143297068072	6.0	1.87689
2355_s	0.279484717015	0.0733832773403	7.0	2.40783
1612_s	0.178016990229	0.0454023326203	5.0	1.914595
1860_s	1.02326535725	0.502258691006	4.0	2.02658
1350_s	0.626655832604	0.18793203195	6.0	1.579555
1868_s	1.64070901678	0.654821617418	5.0	1.593735
3187_s	1.83044024335	0.6847479174	7.0	2.518315
3279_s	0.140945646657	0.0332659868963	4.0	1.77573
1482_s	0.496526395437	0.158263471448	3.0	1.23656
3019_s	0.921560865295	0.44662288011	2.0	1.215775
2176_s	0.0682429933404	0.0131289994729	5.0	2.115555
Negative_s	0.831923656368	0.297358270122	6.0	2.10684
2194_s	2.75777565931	0.826479486005	16.0	3.78897
1468_s	1.49840179186	0.529033797008	10.0	2.1959
3060_s	1.14712885728	0.492578510759	5.0	2.304025
2_s	1.37516077405	0.571801555756	7.0	2.07986
2609_s	0.565965114408	0.220338048795	5.0	1.33867
1430_s	0.0747078566323	0.0157764764395	3.0	1.013025
1380_s	1.46391102571	0.580291358464	9.0	2.02744
2969_s	1.07977336481	0.404747991244	7.0	1.983135
2784_s	2.52164063634	0.816326530612	6.0	1.397735
2836_s	0.918295834054	0.444444444444	2.0	0.421315
2803_s	2.28103611255	0.740740740741	6.0	2.398525
1523_s	0.439496986922	0.165289256198	2.0	1.039705
1445_s	1.33254722481	0.408558846776	6.0	1.783745
1326_s	1.32504869108	0.45664169249	5.0	1.495465
1574_s	0.317320262558	0.0766003717181	6.0	1.867495
2242_s	0.750345939636	0.200361588185	7.0	2.549805
1577_s	0.101819952337	0.0223067159848	5.0	1.54001
1960_s	0.14258653233	0.0285345404865	7.0	2.68183
1722_s	0.891832791973	0.357589004126	7.0	2.558945
1340_s	1.36556662343	0.544827401767	6.0	2.2109
1871_s	1.00401051127	0.473411563882	5.0	1.59922
1267_s	0.449428958758	0.134166847049	5.0	1.556795
1331_s	1.85922038132	0.687367904047	7.0	1.78258
2120_s	1.40764582354	0.589619128045	5.0	1.951675
3057_s	0.7096724084	0.239608573956	9.0	2.51441
2219_s	0.681732368834	0.281998089754	6.0	2.368085
1295_s	0.882361873844	0.312929672765	6.0	1.93759
2223_s	0.513837310882	0.162829145278	3.0	1.17229
1858_s	-0	0.0	1.0	0.147185
2300_s	0.0182954062501	0.00343857746361	2.0	1.25002
2390_s	0.15342593173	0.0370632052456	3.0	1.348355
3102_s	2.62100284355	0.797082148042	9.0	2.33919
1700_s	0.785996164903	0.315322401054	4.0	1.43523
1603_s	0.691654598074	0.237086712908	10.0	2.681035
1471_s	0.833820162869	0.30514703952	9.0	2.016335
1587_s	0.0550280012823	0.0100516973324	8.0	2.75594
2398_s	0.0247188225249	0.0046498476	4.0	1.944955
2932_s	0.0393426648751	0.0068446336	5.0	1.713115
3099_s	0.928773132737	0.296149493729	9.0	2.80415
2218_s	0.445201110314	0.147439820174	5.0	1.63928
1460_s	0.77437882003	0.250752286341	9.0	2.76188
1413_s	1.4326740012	0.541524458129	6.0	2.15551
2525_s	0.0810332341206	0.0157970253441	5.0	2.41012
