	shannon	simpson	observed_species	PD_whole_tree
1_s	0.0845726729299	0.0169124918	8.0	2.05774
1229_s	0.570013627257	0.19845501268	9.0	2.33633
1230_s	0.319852146624	0.0802521428607	8.0	1.99273
1231_s	1.13536838859	0.517331704116	8.0	2.15189
1237_s	0.803746488124	0.275835094	8.0	1.616985
1238_s	1.42150907666	0.575269828511	11.0	3.182315
1239_s	0.648922781949	0.178263205361	9.0	3.19729
1241_s	2.10139866252	0.713607822455	6.0	2.10542
1244_s	1.38963042531	0.531876220861	9.0	2.25151
1253_s	0.865882621016	0.271577438122	9.0	2.294665
1255_s	0.45962190526	0.1289305332	4.0	1.206705
1258_s	0.712814925928	0.20961193774	10.0	1.91441
1267_s	1.42400181701	0.501505062451	11.0	2.07585
1268_s	1.14024109587	0.441673048738	9.0	2.01934
1269_s	0.105594277005	0.0220359387166	4.0	1.27975
1272_s	0.0749285781692	0.0131057908264	13.0	2.52482
1281_s	1.2371032687	0.533190244292	10.0	1.93624
1283_s	2.99924591188	0.853573601771	18.0	4.702395
1286_s	1.64103214433	0.6099544537	9.0	2.28049
1295_s	1.66047768602	0.606599451579	9.0	2.18272
1299_s	0.555930984438	0.22066260003	4.0	1.391875
1311_s	0.129438068739	0.0293523472345	7.0	1.752515
1312_s	0.593365063196	0.1780528804	7.0	1.981115
1313_s	2.33645844389	0.743132102631	9.0	2.484585
1314_s	0.03189342975	0.00521159	6.0	2.10675
1317_s	0.764556081489	0.273518616553	10.0	2.64853
1326_s	0.564335960987	0.151390882226	9.0	2.13973
1327_s	0.184595102181	0.0442090658143	5.0	1.686375
1328_s	0.361665130832	0.0843729803968	10.0	2.40094
1331_s	1.03267782589	0.28537950363	16.0	2.9344
1340_s	1.31655454439	0.436333567085	10.0	2.207995
1341_s	3.10223440047	0.842299174793	28.0	3.89247
1344_s	0.820591096701	0.258443966853	8.0	1.618795
1350_s	1.30470623682	0.454099602478	14.0	2.395155
1354_s	1.75376893703	0.562317203488	7.0	1.85192
1355_s	1.77179276884	0.641275518046	10.0	2.125775
1358_s	1.40216368831	0.508370963603	9.0	2.36213
1368_s	1.16988632217	0.5244664388	9.0	2.11628
1369_s	0.67664799492	0.249466764396	7.0	2.063245
1372_s	0.470606507612	0.12171588191	10.0	2.862185
1373_s	0.0536948503093	0.0107522896759	6.0	1.961235
1380_s	1.34779262667	0.489285000439	12.0	2.635615
1381_s	0.0353704239332	0.00683887444229	9.0	2.208095
1405_s	0.510303836396	0.156961754015	14.0	2.53954
1406_s	1.626601991	0.518944243455	10.0	2.441165
1408_s	1.90014241081	0.645248452792	15.0	3.56663
1409_s	1.41826741682	0.488746576245	10.0	2.64308
1412_s	3.20804008162	0.86127908245	20.0	3.92731
1413_s	0.948961583898	0.311971038348	8.0	1.97557
1414_s	0.992638031114	0.4550805658	5.0	1.5954
1415_s	0.190021584235	0.0431862732	6.0	1.591905
1418_s	0.31498191215	0.0704670292125	13.0	2.78943
1427_s	2.14033523975	0.713499757105	13.0	2.913035
1428_s	0.0239547237928	0.00379656359647	6.0	1.89783
1430_s	0.164137591899	0.040182651849	4.0	1.39342
1445_s	0.217057658719	0.0487589483063	11.0	2.347755
1454_s	1.40001725561	0.520485308763	7.0	1.404815
1455_s	0.25683669761	0.0590156400696	17.0	4.035225
1458_s	1.98989842353	0.615882025353	22.0	5.85226
1459_s	1.21243284879	0.51624816112	11.0	2.54093
1460_s	1.68228702231	0.611164354026	12.0	3.53485
1468_s	2.55656937235	0.768296151804	18.0	3.294945
1471_s	2.29017155339	0.738766920332	11.0	3.17518
1481_s	0.633532597593	0.177729810425	5.0	1.73381
1482_s	0.947315050802	0.4408047674	4.0	2.002615
1485_s	1.57037813945	0.501372996568	17.0	3.150765
1495_s	0.331800402736	0.0789161724395	6.0	1.436375
1496_s	1.63137143308	0.5035604042	7.0	2.07389
1497_s	1.96945015144	0.6445566858	10.0	2.858305
1500_s	2.3339398174	0.705474612702	10.0	2.822775
1509_s	1.73525624827	0.677627446865	10.0	1.691105
1510_s	1.95060368285	0.616211043159	11.0	2.00679
1511_s	1.90994083904	0.64056538285	10.0	1.9201
1514_s	0.0332521301523	0.0058868606622	7.0	1.602755
1522_s	0.128740645676	0.0260239249459	7.0	1.858295
1523_s	0.294339102348	0.074867309081	6.0	1.742515
1526_s	1.53200873671	0.602495136642	4.0	1.49279
1534_s	1.54810617055	0.61506428456	6.0	1.320985
1535_s	1.79004325074	0.602401608941	21.0	3.80486
1538_s	0.498491658126	0.165709315	7.0	2.08215
1539_s	0.515116670494	0.175738111577	11.0	2.581475
1548_s	1.41543301446	0.569886313758	12.0	2.471205
1549_s	0.0478747079459	0.00809097027218	7.0	2.088755
1552_s	0.0215087916127	0.00337621067545	9.0	2.63295
1560_s	1.52681592505	0.6364223006	6.0	1.377245
1564_s	1.7943703769	0.6754953182	5.0	1.865535
1573_s	0.276293075953	0.0784819056	9.0	1.987495
1574_s	0.889360081189	0.349037938316	10.0	2.72837
1577_s	1.7062995092	0.620473922892	8.0	1.9755
1586_s	0.0201936728091	0.00349507440158	7.0	2.679575
