#OTUID	3141_s	1458_s	Positive_s	1405_s	3278_s	1341_s	2955_s	2187_s	1759_s	1621_s	2387_s	1600_s	2224_s	1663_s	2781_s	2278_s	2191_s	2780_s	1611_s	1455_s	2277_s	1586_s	2273_s	2121_s	2055_s	2173_s	2810_s	3178_s	1627_s	1626_s	2879_s	1869_s	1372_s	1418_s	1614_s	2354_s	2205_s	1548_s	3015_s	1412_s	1408_s	2188_s	1535_s	2152_s	2324_s	1381_s	2082_s	1283_s	1485_s	3138_s	2876_s	1514_s	2351_s	1552_s	1414_s	3115_s	2355_s	1612_s	1860_s	1350_s	1868_s	3187_s	3279_s	1482_s	3019_s	2176_s	Negative_s	2194_s	1468_s	3060_s	2_s	2609_s	1430_s	1380_s	2969_s	2784_s	2836_s	2803_s	1523_s	1445_s	1326_s	1574_s	2242_s	1577_s	1960_s	1722_s	1340_s	1871_s	1267_s	1331_s	2120_s	3057_s	2219_s	1295_s	2223_s	1858_s	2300_s	2390_s	3102_s	1700_s	1603_s	1471_s	1587_s	2398_s	2932_s	3099_s	2218_s	1460_s	1413_s	2525_s	3023_s	1237_s	1534_s	1995_s	1495_s	3124_s	2235_s	2053_s	1549_s	2035_s	1560_s	1672_s	1620_s	1428_s	3014_s	1509_s	1671_s	1369_s	1511_s	1459_s	3109_s	1314_s	3186_s	1_s	2928_s	2416_s	1258_s	2265_s	2304_s	1763_s	2519_s	2262_s	1807_s	1539_s	1286_s	2204_s	1317_s	2172_s	1725_s	1409_s	3056_s	2415_s	1762_s	1564_s	1912_s	1675_s	3137_s	1238_s	1522_s	1481_s	3175_s	1368_s	1874_s	1844_s	1358_s	2807_s	2078_s	3125_s	1573_s	2350_s	1454_s	2386_s	2291_s	1733_s	3282_s	2929_s	2968_s	1806_s	2528_s	2590_s	2213_s	1497_s	3129_s	1758_s	2399_s	2908_s	1826_s	1599_s	1538_s	3112_s	1996_s	1737_s	1269_s	1229_s	1588_s	2583_s	2967_s	2192_s	2524_s	1863_s	2328_s	1239_s	1244_s	2839_s	1253_s	1406_s	1313_s	1328_s	1241_s	2783_s	3174_s	1281_s	1843_s	2210_s	1344_s	1660_s	1268_s	1355_s	3126_s	2158_s	2261_s	1696_s	3022_s	1255_s	3_s	4_s	2325_s	2953_s	2227_s	2290_s	1500_s	1510_s	1427_s	2239_s	2254_s	1354_s	3190_s	2054_s	2079_s	2413_s	2409_s	1299_s	2954_s	1526_s
SH181234.07FU AB018043 refs	7090	14889	9867	7694	0	3016	120	0	248	1	0	233	272	0	88	0	0	6	2	353	7	0	0	0	50	0	0	0	0	0	0	0	225	18319	0	0	0	53	0	17	973	0	0	0	0	0	43	15	27808	0	0	0	261	0	0	107	0	0	0	0	0	0	0	0	0	0	58	3123	0	0	92	7070	30254	12865	524	45	52	281	95	39	433	173	189	0	256	0	1307	0	681	0	0	0	0	2571	0	147	0	0	633	0	54	234	0	0	0	0	0	188	2075	0	0	23112	0	85	148	0	96042	142	0	0	0	0	0	0	1639	0	0	0	0	134	145	0	0	0	0	0	29257	0	0	0	86	0	537	0	0	0	0	0	0	148	109	97	0	0	0	0	0	0	0	0	156	696	0	0	0	717	0	813	0	0	0	0	0	0	1333	0	0	0	336	0	370	1449	0	0	0	0	0	0	0	2817	0	0	0	0	0	0	0	0	0	0	0	356	166	0	9244	0	5769	0	0	0	0	11392	0	0	0	0	0	298	0	0	0	0	0	0	1799	0	0	0	0	0	0	0	3403	0	1695	9211	1587	0	0	0	0	0	0	0
SH174893.07FU EF568057 refs	0	0	0	0	95721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99657	0	0	0	0	397	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH012092.07FU EF057428 reps singleton	0	0	0	0	0	0	0	0	38213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH005040.07FU EU315763 reps singleton	0	12	7	0	0	0	20	0	0	0	0	0	0	0	88	0	150	0	0	0	7	1	0	0	0	0	99595	0	0	0	0	0	0	0	152	0	8	0	0	0	84262	0	0	0	0	1	0	28973	0	0	0	0	0	0	0	0	0	81	0	0	0	26362	0	0	0	94	5	10	0	199	0	0	0	0	0	0	0	281	0	0	0	0	189	0	192	0	131	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	16	0	0	82947	0	5461	189	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	84	0	101	0	153	0	0	0	0	0	0	0	0	1322	0	218	0	0	0	227	0	0	104	0	0	311	50	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	1538	1681	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	4762	0	0	0	0	0	0	0
SH001486.07FU FJ455000 reps singleton	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14364	0	0	25	0	0	0	0	13066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	3634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11042	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	63758	0	336	0	0	1449	0	0	0	0	0	0	0	0	3509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3704	0	0	0	0	0	0	0	0	0	0	0	0	0
SH006592.07FU JN210892 reps singleton	0	0	0	0	0	15022	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	19563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	34	0	0	0	0	0	0	0	39	0	0	0	0	64	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	281	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4918	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	418	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2222	0	0	0	0	0	0	0	0	0	1754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0	1010	2439	0	0	0	1905	3390	0	1587	0	0	0	0	0	0	0
SH007927.07FU KJ809565 reps singleton	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH010421.07FU KC505367 reps singleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	1991	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH010894.07FU KJ869131 reps singleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9965	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH018610.07FU KJ734197 reps singleton	34	0	0	0	0	50	0	6139	0	0	0	0	0	275	176	10861	6681	208	160	174	14315	227	4703	18	0	0	25	0	0	0	91	0	0	0	232	140	235	106	0	0	0	34	97	0	0	0	0	0	0	98	216	229	0	230	259	214	244	163	0	0	915	0	0	99	0	0	0	8225	35	0	0	0	0	0	0	0	0	0	0	0	0	0	378	170	128	95	0	0	0	205	0	0	0	0	102	0	0	87	316	0	482	469	315	217	0	0	581	0	1698	0	0	0	0	0	148	0	104	142	147	240	144	306	566	91	8197	0	0	1449	256	0	0	0	0	0	0	0	240	352	585	0	86	0	0	0	0	209	0	0	0	0	0	776	292	0	0	0	0	0	890	56	0	298	0	0	0	0	0	0	0	0	885	7734	552	0	0	5333	0	0	3020	0	6296	0	0	0	183	0	0	4741	427	0	0	0	0	743	0	459	0	1878	0	347	0	0	0	769	1681	0	0	8696	0	0	0	0	0	0	861	0	0	1341	0	169	0	0	0	0	0	0	0	0	10101	7927	1587	0	0	9524	5085	0	0	2985	182	0	0	0	568	1493
