ReadCnt	SampID
174624	1229
75756	1230
128584	1231
252620	1237
69784	1238
11428	1239
24504	1241
401712	1244
264956	1253
7780	1255
319260	1258
67872	1267
75104	1268
46664	1269
237456	1272
56980	1281
20332	1282
68200	1283
154788	1286
24728	1292
578200	1295
7852	1296
289184	1299
306112	1311
94160	1312
53356	1313
22752	1314
263984	1317
126168	1326
17568	1327
30508	1328
360752	1331
46920	1340
149868	1341
303012	1344
16844	1345
135776	1350
42660	1354
8740	1355
34500	1358
65712	1368
19288	1369
35116	1372
53136	1373
30472	1380
554032	1381
49600	1405
81372	1406
54616	1408
42396	1409
87152	1412
237160	1413
46044	1414
35024	1415
187116	1418
97376	1427
30496	1428
85764	1430
73244	1445
69828	1454
331316	1455
156068	1458
69868	1459
158072	1460
52216	1467
30684	1468
324180	1471
137908	1481
63632	1482
69652	1485
50336	1495
31512	1496
79400	1497
128232	1500
104092	1509
48952	1510
41104	1511
256300	1514
36116	1522
7412	1523
65140	1526
92684	1534
311660	1535
69880	1538
327300	1539
75240	1548
52228	1549
215052	1552
85612	1560
36652	1561
78884	1564
99492	1573
34292	1574
310984	1577
325628	1586
128288	1587
12416	1588
68252	1599
78540	1600
128500	1603
291276	1611
45504	1612
592616	1614
71396	1620
408072	1621
214500	1626
2565272	1627
52060	1659
22404	1660
462772	1663
60488	1671
18480	1672
133372	1675
76052	1696
103896	1697
17624	1700
47896	1701
52420	1721
155164	1722
353384	1725
18952	1733
131688	1734
27392	1737
12308	1758
478892	1759
87700	1762
45520	1763
171552	1806
34324	1807
23940	1821
52532	1822
267220	1823
35736	1826
215344	1843
15416	1844
45876	1858
99676	1859
170220	1860
149016	1863
241488	1868
37728	1869
173924	1871
275548	1874
18120	1883
21128	1884
233024	1885
223580	1888
36880	1908
199160	1909
53900	1912
108784	1959
159608	1960
53072	1963
14572	1995
159340	1996
56964	1999
33872	1
36980	2030
158356	2034
183520	2035
160892	2038
76128	2053
41004	2054
267876	2055
78172	2058
21680	2078
14852	2079
52588	2082
29116	2120
250764	2121
122444	2124
69608	2152
105016	2158
13164	2159
58216	2163
10644	2171
27056	2172
45140	2173
87136	2176
543696	2187
131308	2188
459620	2191
61172	2192
174004	2194
57460	2204
74988	2205
9340	2209
11140	2210
51624	2213
35420	2218
36268	2219
48628	2223
8532	2224
93340	2227
114212	2235
15308	2236
51080	2239
38812	2242
17108	2250
8296	2251
40636	2254
16372	2261
29948	2262
50720	2265
301612	2273
29320	2274
94876	2277
922480	2278
33704	2286
168864	2287
145180	2290
37388	2291
34160	2292
32100	2300
107856	2301
19132	2304
98960	2324
105524	2325
17736	2328
26432	2350
205996	2351
982784	2354
131932	2355
94756	2386
221148	2387
91640	2390
166432	2398
153976	2399
11480	2408
129832	2409
74576	2413
80064	2415
23540	2416
57088	2519
129196	2524
287688	2525
27584	2528
81440	2583
59896	2586
223492	2587
103808	2590
18608	2608
27936	2609
73756	2612
2336	2658
21328	2659
64276	2662
36284	2696
9920	2697
86824	2700
483112	2780
29264	2781
34552	2783
21808	2784
52852	2787
27728	2788
48200	2803
11512	2804
27040	2806
14200	2807
167928	2810
9848	2811
216980	2834
32976	2835
12156	2836
79992	2839
25780	2875
48244	2876
262220	2879
82852	2908
204824	2909
211620	2913
80688	2928
11732	2929
82140	2932
44312	2933
54152	2953
319460	2954
32084	2955
46272	2958
71232	2967
89780	2968
32956	2969
32428	2972
13908	2
21620	3014
26928	3015
20024	3018
92200	3019
23820	3022
31384	3023
281932	3056
42436	3057
9288	3060
79512	3061
89548	3098
19604	3099
10792	3102
72504	3103
68848	3108
26484	3109
14420	3111
10564	3112
50428	3115
17948	3124
9660	3125
15336	3126
11096	3129
13940	3137
279132	3138
199404	3141
23412	3174
33284	3175
37504	3178
56792	3186
380524	3187
17856	3190
141992	3278
196872	3279
24004	3282
25824	3
34304	4
480652	Negative
1305376	Positive
39267816	
